Index,Title,Rating,Votes,Runtimes,Budget,World_Gross,Country,Action,Adventure,Adult,Animation,Comedy,Crime,Documentary,Drama,Fantasy,Family,FilmNoir,Horror,Musical,Mystery,Romance,SciFi,Short,Thriller,War,Western
1237,L'armata Brancaleone,8,2907,120,,,Italy,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1238,In Bruges,8,290226,107,"$15,000,000 ",,UK,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1239,East of Eden,8,28724,115,,,USA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1240,End of the Century,8,2868,110,,,USA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1241,Unnaipol Oruvan,8,2854,106,,,India,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1242,Que la b?te meure,8,2835,110,,,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1243,Fiddler on the Roof,8,28319,181,"$9,000,000 ",,USA,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
1244,Beauty and the Beast,8,281141,91,"$25,000,000 ","$424,967,620 (worldwide)",USA,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
1245,Tagebuch einer Verlorenen,8,2791,115,,,Germany,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1246,Central do Brasil,8,27902,113,"$2,900,000 ",,Brazil,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1247,Amarcord,8,27732,123,,,Italy,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1248,Mera Naam Joker,8,2739,224,,,India,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1249,Special Chabbis,8,27184,144,,"INR 810,000,000 (Worldwide)",India,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1250,Secrets & Lies,8,27137,142,"$4,500,000 ",,France,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1251,The Exorcist,8,269765,132,"$8,000,000 ","$441,306,145 (Worldwide)",USA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1252,"Liza, a r?kat?nd?r",8,2670,98,,,Hungary,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1253,Mimi wo sumaseba,8,26595,111,,,Japan,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1254,C.R.A.Z.Y.,8,26103,,,,Canada,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1255,Dead Poets Society,8,259171,128,"$16,400,000 ","$235,900,000 (Worldwide)",USA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1256,Jab We Met,8,25805,138,,"INR 382,500,000 (Worldwide)",India,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1257,Waco: The Rules of Engagement,8,2553,136,,,USA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1258,Le charme discret de la bourgeoisie,8,25487,102,"$800,000 ",,France,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1259,Once Were Warriors,8,24280,102,,,New Zealand,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1260,Khaneh siah ast,8,2421,20,,,Iran,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1261,Moon,8,241006,97,"$5,000,000 ",,UK,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1262,Aladdin,8,239245,90,"$28,000,000 ","$504,050,219 (Worldwide)",USA,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
1263,I pugni in tasca,8,2388,105,,,Italy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1264,God Grew Tired of Us: The Story of Lost Boys of Sudan,8,2385,,,,USA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1265,Boyhood,8,236537,165,"$4,000,000 ","$43,237,465 (Worldwide) (19 December 2014)",USA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1266,1,8,2350,112,,,USA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1267,Mea Maxima Culpa: Silence in the House of God,8,2342,106,"$1,000,000 ",,USA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1268,The Lost Weekend,8,23371,101,"$1,250,000 ",,USA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1269,Excuse My French,8,2336,,,,Egypt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1270,Magnolia,8,231890,188,"$37,000,000 ","$48,451,803 (Worldwide) (20 May 2000)",USA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1271,Serenity,8,231203,119,"$40,000,000 ","$38,869,464 (worldwide)",USA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1272,America: Freedom to Fascism,8,2293,95,"$1,000,000 ",,USA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1273,Akasen chitai,8,2276,87,,,Japan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1274,El sur,8,2259,,,,Spain,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1275,Girl Shy,8,2236,,,,USA,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1276,O thiasos,8,2235,230,,,Greece,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1277,Kagemusha,8,22324,180,"$6,000,000 ",,Japan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1278,Mulholland Dr.,8,222161,147,"$15,000,000 ","$20,112,339 (Worldwide)",France,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
1279,To Have and Have Not,8,22172,100,,,USA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
1280,Facing Ali,8,2215,100,"$1,800,000 ",,USA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1281,Bound by Honor,8,22045,330,"$35,000,000 ",,USA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1282,Winnie the Pooh and the Honey Tree,8,2196,25,,,USA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1283,Providence,8,2192,110,,,France,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
